"country","province","points","price","variety"
"US","California",85,25,"Pinot Noir"
"US","Washington",85,15,"Cabernet Sauvignon"
"US","Michigan",85,16,"Riesling"
"US","California",85,21,"Cabernet Sauvignon"
"US","California",85,19,"Chardonnay"
"US","Washington",85,14,"Merlot"
"Spain","Central Spain",85,7,"Tempranillo"
"US","California",84,14,"Sauvignon Blanc"
"Italy","Tuscany",84,11,"Red Blend"
"US","California",84,24,"Merlot"
"US","California",84,18,"White Blend"
"France","Southwest France",84,16,"Malbec"
"US","California",84,42,"Pinot Noir"
"US","California",84,55,"Bordeaux-style Red Blend"
"US","Oregon",84,24,"Cabernet Sauvignon"
"US","New York",84,15,"Merlot"
"US","California",83,16,"Cabernet Sauvignon"
"Portugal","Alentejano",83,18,"Rosé"
"US","New York",83,25,"Merlot"
"US","California",83,20,"Cabernet Sauvignon"
"US","California",83,7,"Cabernet Sauvignon"
"US","California",83,15,"Merlot"
"US","California",83,7,"Merlot"
"US","California",83,18,"Tempranillo"
"Spain","Central Spain",83,7,"Tempranillo"
"France","Languedoc-Roussillon",83,12,"Pinot Noir"
"Australia","Australia Other",83,13,"Sauvignon Blanc"
"Spain","Northern Spain",83,11,"Tempranillo"
"US","Oregon",83,20,"Pinot Noir"
"US","California",83,30,"Syrah"
"US","California",83,10,"Sauvignon Blanc"
"France","France Other",83,10,"Chardonnay"
"US","California",83,7,"Merlot"
"New Zealand","Marlborough",83,10,"Sauvignon Blanc"
"France","Bordeaux",82,19,"Bordeaux-style Red Blend"
"US","California",82,32,"Red Blend"
"US","California",82,12,"Chardonnay"
"France","Bordeaux",82,15,"Bordeaux-style Red Blend"
"Spain","Catalonia",82,14,"Pinot Noir"
"Spain","Levante",82,16,"Red Blend"
"Italy","Sicily & Sardinia",85,12,"White Blend"
"New Zealand","South Island",85,17,"Riesling"
"US","California",85,25,"Red Blend"
"Spain","Central Spain",85,6,"Tempranillo"
"US","California",85,14,"Riesling"
"US","California",85,15,"Sauvignon Blanc"
"US","New York",85,13,"Riesling"
"US","California",85,24,"Rosé"
"US","New York",85,15,"Riesling"
"Italy","Sicily & Sardinia",85,12,"Cabernet Sauvignon"
"US","California",85,15,"Chardonnay"
"US","California",85,12,"Cabernet Sauvignon"
"US","California",85,50,"Syrah"
"Italy","Sicily & Sardinia",85,10,"White Blend"
"US","California",85,35,"Pinot Noir"
"US","California",85,16,"Pinot Noir"
"Spain","Northern Spain",85,12,"Tempranillo"
"Italy","Sicily & Sardinia",85,10,"White Blend"
"US","New York",85,12,"Riesling"
"US","New York",85,14,"Riesling"
"US","California",85,35,"Pinot Noir"
"US","New York",85,13,"Riesling"
"US","New York",85,25,"Pinot Noir"
"US","California",85,39,"Zinfandel"
"US","California",85,10,"Cabernet Sauvignon"
"US","California",82,10,"Zinfandel"
"Spain","Spain Other",81,6,"Red Blend"
"US","California",81,24,"Merlot"
"US","California",81,20,"Zinfandel"
"Spain","Central Spain",81,8,"Tempranillo"
"US","California",81,24,"Sangiovese"
"US","California",80,25,"Sauvignon Blanc"
"US","California",80,20,"Zinfandel"
"France","Champagne",100,1400,"Chardonnay"
"France","Champagne",96,180,"Chardonnay"
"US","California",96,175,"Cabernet Sauvignon"
"US","California",96,42,"Cabernet Sauvignon"
"US","California",85,20,"Pinot Noir"
"Italy","Sicily & Sardinia",85,10,"Red Blend"
"Italy","Sicily & Sardinia",85,16,"White Blend"
"US","California",85,16,"Chardonnay"
"US","New York",85,14,"Riesling"
"US","California",85,42,"Pinot Noir"
"US","California",84,35,"Sauvignon Blanc"
"US","California",84,14,"Red Blend"
"US","California",84,45,"Cabernet Sauvignon"
"Italy","Sicily & Sardinia",84,10,"White Blend"
"US","Michigan",84,25,"Riesling"
"Spain","Central Spain",84,8,"Tempranillo"
"US","New York",84,10,"Riesling"
"US","California",96,90,"Merlot"
"US","Washington",95,82,"Cabernet Sauvignon"
"US","California",95,48,"Pinot Noir"
"US","California",95,40,"Pinot Noir"
"France","Champagne",95,150,"Chardonnay"
"France","Champagne",95,69,"Chardonnay"
"US","California",95,60,"Pinot Noir"
"US","California",95,90,"Cabernet Sauvignon"
"Italy","Sicily & Sardinia",84,8,"White Blend"
"Spain","Northern Spain",84,17,"Tempranillo"
"US","California",84,10,"Chardonnay"
"Israel","Galilee",84,18,"Sauvignon Blanc"
"Italy","Sicily & Sardinia",84,10,"White Blend"
"US","California",84,17,"Chardonnay"
"US","Ohio",84,13,"Riesling"
"US","California",84,25,"Red Blend"
"US","Virginia",84,14,"Rosé"
"US","California",84,10,"Merlot"
"US","California",84,30,"Chardonnay"
"US","California",84,24,"Sauvignon Blanc"
"Spain","Northern Spain",84,15,"Tempranillo"
"Italy","Sicily & Sardinia",84,14,"Red Blend"
"Israel","Judean Hills",84,30,"Rosé"
"US","California",84,8,"Chardonnay"
"US","California",84,40,"Syrah"
"US","Michigan",84,18,"Riesling"
"US","California",84,40,"Syrah"
"US","California",94,120,"Cabernet Sauvignon"
"US","California",94,75,"Cabernet Sauvignon"
"US","California",94,50,"Merlot"
"US","California",94,82,"Cabernet Sauvignon"
"US","California",94,90,"Pinot Noir"
"US","Washington",94,60,"Cabernet Sauvignon"
"US","California",94,34,"Syrah"
"US","Washington",94,42,"Cabernet Sauvignon"
"US","California",84,25,"Chardonnay"
"US","California",84,10,"Chardonnay"
"Chile","Rapel Valley",84,12,"Sauvignon Blanc"
"US","California",84,60,"Cabernet Sauvignon"
"US","California",84,70,"Cabernet Sauvignon"
"New Zealand","Marlborough",84,17,"Pinot Noir"
"Spain","Northern Spain",84,17,"Tempranillo"
"US","California",84,13,"Chardonnay"
"US","New York",84,14,"Rosé"
"US","California",84,20,"Red Blend"
"US","California",84,16,"Chardonnay"
"Israel","Negev",84,12,"Pinot Noir"
"Israel","Galilee",84,36,"Merlot"
"US","California",84,15,"Chardonnay"
"US","California",84,75,"Cabernet Sauvignon"
"US","California",94,45,"Pinot Noir"
"US","California",94,105,"Cabernet Sauvignon"
"US","California",94,61,"Cabernet Sauvignon"
"Austria","Burgenland",94,80,"Chardonnay"
"US","California",94,95,"Bordeaux-style Red Blend"
"US","California",94,105,"Cabernet Sauvignon"
"US","California",94,60,"Pinot Noir"
"US","California",84,13,"Chardonnay"
"Spain","Northern Spain",84,27,"Tempranillo"
"Chile","Casablanca Valley",84,32,"Pinot Noir"
"US","California",84,12,"Red Blend"
"Italy","Sicily & Sardinia",84,28,"Chardonnay"
"US","California",83,10,"Merlot"
"US","California",83,20,"Cabernet Sauvignon"
"US","California",83,17,"Sauvignon Blanc"
"US","California",83,10,"Red Blend"
"US","Missouri",83,7,"Rosé"
"US","California",83,20,"Zinfandel"
"US","California",83,10,"Zinfandel"
"US","California",83,65,"Bordeaux-style Red Blend"
"US","Texas",83,14,"Rosé"
"US","California",83,40,"Cabernet Sauvignon"
"Chile","Colchagua Valley",83,22,"Cabernet Sauvignon"
"US","Michigan",83,13,"Riesling"
"US","California",83,10,"Pinot Noir"
"US","California",83,44,"Bordeaux-style Red Blend"
"Spain","Catalonia",83,10,"Chardonnay"
"US","California",83,28,"Chardonnay"
"Spain","Northern Spain",83,9,"Tempranillo"
"US","California",83,25,"Red Blend"
"US","Washington",93,75,"Cabernet Sauvignon"
"Austria","Südoststeiermark",93,48,"Sauvignon Blanc"
"Chile","Puente Alto",93,95,"Cabernet Sauvignon"
"US","California",93,44,"Pinot Noir"
"US","California",93,86,"Bordeaux-style Red Blend"
"US","California",93,115,"Cabernet Sauvignon"
"Italy","Sicily & Sardinia",83,16,"Red Blend"
"US","California",83,12,"Zinfandel"
"Spain","Central Spain",83,8,"White Blend"
"Chile","Maule Valley",83,12,"Cabernet Sauvignon"
"US","California",83,12,"Merlot"
"US","New York",83,10,"Riesling"
"Italy","Sicily & Sardinia",83,24,"Syrah"
"Spain","Northern Spain",83,17,"Tempranillo"
"US","California",83,20,"Merlot"
"US","California",82,42,"Cabernet Sauvignon"
"US","California",82,19,"Pinot Noir"
"US","California",82,10,"White Blend"
"Italy","Sicily & Sardinia",82,16,"Red Blend"
"US","California",82,10,"Merlot"
"US","New York",82,14,"Riesling"
"Chile","Casablanca Valley",82,16,"Pinot Noir"
"US","California",82,19,"Sauvignon Blanc"
"US","California",82,65,"Cabernet Sauvignon"
"US","California",82,17,"Zinfandel"
"Israel","Galilee",82,28,"Chardonnay"
"US","California",82,27,"Pinot Noir"
"US","California",82,34,"Red Blend"
"US","Virginia",82,14,"Rosé"
"US","California",82,32,"Cabernet Sauvignon"
"US","Washington",93,40,"Cabernet Sauvignon"
"Austria","Traisental",93,48,"Riesling"
"US","California",93,30,"Chardonnay"
"Chile","Maipo Valley",93,60,"Cabernet Sauvignon"
"US","California",93,65,"Red Blend"
"US","California",93,42,"Pinot Noir"
"US","California",93,65,"Cabernet Sauvignon"
"US","Washington",93,28,"Merlot"
"US","California",93,54,"Pinot Noir"
"France","Champagne",93,80,"Chardonnay"
"US","California",93,145,"Bordeaux-style Red Blend"
"US","California",92,50,"Cabernet Sauvignon"
"US","California",82,10,"Chardonnay"
"US","California",82,32,"Zinfandel"
"US","California",82,17,"Cabernet Sauvignon"
"US","California",82,14,"White Blend"
"US","California",82,60,"Sangiovese"
"US","California",82,21,"Merlot"
"US","California",82,20,"Merlot"
"Spain","Northern Spain",81,21,"Tempranillo"
"US","California",81,19,"Cabernet Sauvignon"
"US","California",81,62,"Pinot Noir"
"Spain","Northern Spain",81,14,"White Blend"
"Spain","Northern Spain",81,14,"Chardonnay"
"US","California",81,8,"Cabernet Sauvignon"
"Spain","Spain Other",80,10,"White Blend"
"Germany","Rheingau",97,445,"Riesling"
"US","California",97,130,"Cabernet Sauvignon"
"Germany","Rheingau",97,612,"Riesling"
"Germany","Mosel",96,95,"Riesling"
"Germany","Rheingau",96,271,"Riesling"
"US","Oregon",96,40,"Pinot Noir"
"Germany","Mosel",96,228,"Riesling"
"Austria","Kamptal",96,80,"Riesling"
"Germany","Mosel",96,80,"Riesling"
"US","California",95,60,"Cabernet Sauvignon"
"Germany","Rheingau",95,44,"Riesling"
"US","California",95,75,"Bordeaux-style Red Blend"
"US","California",95,52,"Pinot Noir"
"Germany","Mosel",95,448,"Riesling"
"Germany","Rheingau",95,292,"Riesling"
"Germany","Rheingau",95,142,"Riesling"
"Austria","Kamptal",95,74,"Riesling"
"US","California",95,38,"Zinfandel"
"US","California",94,45,"Cabernet Sauvignon"
"US","California",94,47,"Pinot Noir"
"Germany","Mosel",94,40,"Riesling"
"Germany","Mosel",94,440,"Riesling"
"US","Oregon",94,100,"Pinot Noir"
"US","California",94,115,"Cabernet Sauvignon"
"US","California",94,90,"Cabernet Sauvignon"
"US","California",94,55,"Merlot"
"Germany","Rheingau",94,200,"Riesling"
"US","California",94,68,"Pinot Noir"
"France","Southwest France",94,56,"Malbec"
"Germany","Rheingau",94,376,"Riesling"
"US","California",94,50,"Chardonnay"
"Germany","Mosel",94,231,"Riesling"
"Germany","Mosel",94,64,"Riesling"
"US","Oregon",94,45,"Pinot Noir"
"US","California",92,48,"Pinot Noir"
"US","California",92,85,"Cabernet Sauvignon"
"Austria","Niederösterreich",92,40,"Riesling"
"US","California",92,38,"Chardonnay"
"Italy","Piedmont",92,38,"Red Blend"
"Austria","Niederösterreich",92,40,"Riesling"
"US","California",92,40,"Cabernet Sauvignon"
"US","Washington",92,33,"Bordeaux-style Red Blend"
"US","California",92,80,"Cabernet Sauvignon"
"US","California",94,110,"Cabernet Sauvignon"
"US","Oregon",94,32,"Pinot Noir"
"US","California",94,38,"Zinfandel"
"Germany","Mosel",93,64,"Riesling"
"US","California",93,76,"Bordeaux-style Red Blend"
"US","Oregon",93,85,"Pinot Noir"
"Argentina","Mendoza Province",93,35,"Red Blend"
"Germany","Mosel",93,114,"Riesling"
"Germany","Mosel",93,250,"Riesling"
"France","Southwest France",93,139,"Malbec"
"France","Southwest France",93,85,"Malbec"
"US","California",93,48,"Pinot Noir"
"US","California",93,45,"Zinfandel"
"US","California",93,60,"Red Blend"
"Germany","Mosel",93,175,"Riesling"
"US","Oregon",93,85,"Pinot Noir"
"US","California",93,105,"Cabernet Sauvignon"
"US","California",93,65,"Pinot Noir"
"US","California",93,30,"Zinfandel"
"US","California",93,24,"Zinfandel"
"US","California",93,75,"Cabernet Sauvignon"
"US","California",93,50,"Pinot Noir"
"US","Oregon",93,50,"Pinot Noir"
"US","California",93,40,"Pinot Noir"
"France","Champagne",92,70,"Chardonnay"
"US","California",92,40,"Pinot Noir"
"US","California",92,45,"Cabernet Sauvignon"
"US","California",92,52,"Cabernet Sauvignon"
"US","California",92,16,"Cabernet Sauvignon"
"US","California",92,95,"Pinot Noir"
"Chile","Maipo Valley",92,260,"Cabernet Sauvignon"
"US","California",92,100,"Cabernet Sauvignon"
"US","Washington",92,50,"Bordeaux-style Red Blend"
"Austria","Traisental",92,25,"Riesling"
"Austria","Wachau",92,40,"Riesling"
"US","California",92,26,"Chardonnay"
"US","California",92,23,"Chardonnay"
"US","California",93,28,"Zinfandel"
"US","California",93,49,"Pinot Noir"
"Austria","Kamptal",93,38,"Riesling"
"US","Oregon",93,50,"Pinot Noir"
"US","California",93,33,"Syrah"
"US","California",93,45,"Chardonnay"
"Germany","Mosel",93,316,"Riesling"
"Germany","Mosel",92,55,"Riesling"
"US","California",92,28,"Chardonnay"
"US","Oregon",92,50,"Pinot Noir"
"Germany","Mosel",92,57,"Riesling"
"US","California",92,38,"Zinfandel"
"US","California",92,32,"Chardonnay"
"US","Oregon",92,50,"Pinot Noir"
"US","California",92,41,"Pinot Noir"
"US","California",92,38,"Syrah"
"Italy","Northeastern Italy",92,48,"Chardonnay"
"South Africa","Coastal Region",92,65,"Cabernet Sauvignon"
"US","California",92,68,"Cabernet Sauvignon"
"US","California",92,50,"Pinot Noir"
"US","California",92,65,"Cabernet Sauvignon"
"US","Washington",92,18,"Riesling"
"US","California",92,30,"Chardonnay"
"US","California",92,75,"Cabernet Sauvignon"
"US","California",92,100,"Cabernet Sauvignon"
"US","California",92,55,"Cabernet Sauvignon"
"US","California",92,49,"Bordeaux-style Red Blend"
"US","California",92,25,"Syrah"
"US","California",92,32,"Chardonnay"
"US","Washington",92,65,"Bordeaux-style Red Blend"
"US","California",92,48,"Cabernet Sauvignon"
"France","Champagne",92,79,"Chardonnay"
"US","Washington",91,40,"Cabernet Sauvignon"
"US","California",91,16,"Syrah"
"France","Champagne",91,69,"Chardonnay"
"US","California",92,35,"Pinot Noir"
"US","California",92,75,"Cabernet Sauvignon"
"US","California",92,49,"Pinot Noir"
"US","California",92,49,"Pinot Noir"
"US","California",92,56,"Pinot Noir"
"US","California",92,80,"Cabernet Sauvignon"
"US","California",92,65,"Cabernet Sauvignon"
"US","Oregon",92,36,"Pinot Noir"
"US","Oregon",92,65,"Pinot Noir"
"US","California",92,75,"Cabernet Sauvignon"
"France","Southwest France",92,13,"Malbec"
"Germany","Mosel",92,32,"Riesling"
"France","Southwest France",92,40,"Malbec"
"Argentina","Mendoza Province",92,115,"Chardonnay"
"US","California",92,76,"Bordeaux-style Red Blend"
"Italy","Northeastern Italy",92,39,"White Blend"
"US","California",92,38,"Cabernet Sauvignon"
"US","California",92,45,"Cabernet Sauvignon"
"US","California",92,60,"Chardonnay"
"US","California",91,22,"Zinfandel"
"Italy","Northeastern Italy",91,36,"Chardonnay"
"US","California",91,55,"Pinot Noir"
"Germany","Rheingau",91,107,"Riesling"
"France","Southwest France",91,33,"Malbec"
"US","California",91,28,"Cabernet Sauvignon"
"South Africa","Wellington",91,28,"Red Blend"
"Italy","Northeastern Italy",91,39,"Chardonnay"
"US","California",91,40,"Cabernet Sauvignon"
"South Africa","Stellenbosch",91,27,"Syrah"
"US","California",91,69,"Pinot Noir"
"France","Southwest France",91,25,"Malbec"
"South Africa","Western Cape",91,39,"Syrah"
"Argentina","Mendoza Province",91,19,"Malbec"
"South Africa","Western Cape",91,25,"Red Blend"
"US","Oregon",91,45,"Pinot Noir"
"Argentina","Mendoza Province",91,24,"Red Blend"
"South Africa","South Africa",91,22,"Cabernet Sauvignon"
"Italy","Northeastern Italy",91,40,"White Blend"
"US","California",91,48,"Cabernet Sauvignon"
"France","Southwest France",91,26,"Bordeaux-style Red Blend"
"South Africa","Coastal Region",91,47,"Syrah"
"Italy","Northeastern Italy",91,37,"White Blend"
"US","California",91,36,"Pinot Noir"
"South Africa","Stellenbosch",91,65,"Red Blend"
"Germany","Mosel",91,60,"Riesling"
"US","California",91,53,"Chardonnay"
"US","Oregon",91,42,"Pinot Noir"
"US","California",91,27,"Syrah"
"US","California",91,62,"Cabernet Sauvignon"
"US","Washington",91,35,"Cabernet Sauvignon"
"US","Washington",91,35,"Red Blend"
"US","California",91,45,"Pinot Noir"
"US","California",91,40,"Cabernet Sauvignon"
"Austria","Niederösterreich",91,22,"Riesling"
"US","Washington",91,26,"Merlot"
"Chile","Maipo Valley",91,35,"Cabernet Sauvignon"
"US","Washington",91,20,"Chardonnay"
"US","California",91,18,"Rosé"
"US","California",91,44,"Pinot Noir"
"France","Southwest France",91,15,"Malbec"
"France","Southwest France",91,54,"Malbec"
"US","Oregon",91,48,"Pinot Noir"
"US","California",91,21,"Tempranillo"
"Germany","Mosel",91,51,"Riesling"
"US","California",91,48,"Bordeaux-style Red Blend"
"US","California",91,40,"Cabernet Sauvignon"
"US","California",91,47,"Pinot Noir"
"South Africa","Western Cape",91,30,"Syrah"
"US","California",91,48,"Bordeaux-style Red Blend"
"US","California",91,24,"Merlot"
"South Africa","Simonsberg-Stellenbosch",91,49,"Cabernet Sauvignon"
"Italy","Tuscany",91,120,"Chardonnay"
"France","Southwest France",90,50,"Bordeaux-style Red Blend"
"Italy","Northeastern Italy",90,48,"Chardonnay"
"US","California",90,25,"Cabernet Sauvignon"
"Italy","Tuscany",90,90,"White Blend"
"Italy","Tuscany",90,90,"White Blend"
"US","Oregon",90,32,"Pinot Noir"
"Argentina","Mendoza Province",90,21,"Malbec"
"South Africa","Robertson",90,23,"Syrah"
"France","Southwest France",90,25,"Malbec"
"US","California",90,45,"Pinot Noir"
"US","California",91,23,"Syrah"
"US","Washington",91,55,"Cabernet Sauvignon"
"Austria","Burgenland",91,30,"Chardonnay"
"Chile","Colchagua Valley",91,24,"Merlot"
"France","Champagne",91,399,"Chardonnay"
"US","Washington",91,19,"Sauvignon Blanc"
"US","California",91,48,"Cabernet Sauvignon"
"US","Washington",91,50,"Bordeaux-style Red Blend"
"South Africa","Stellenbosch",90,21,"Chardonnay"
"US","California",90,27,"Syrah"
"US","Oregon",90,42,"Pinot Noir"
"France","Southwest France",90,40,"Malbec"
"Germany","Mosel",90,16,"Riesling"
"Austria","Burgenland",90,50,"Chardonnay"
"Italy","Southern Italy",90,33,"White Blend"
"France","Southwest France",90,23,"Malbec"
"US","California",90,20,"Malbec"
"US","Oregon",90,42,"Pinot Noir"
"France","Southwest France",90,16,"Bordeaux-style Red Blend"
"Argentina","Mendoza Province",90,18,"Malbec"
"Argentina","Mendoza Province",90,28,"Red Blend"
"Argentina","Mendoza Province",90,33,"Chardonnay"
"Germany","Mosel",90,12,"Riesling"
"Italy","Central Italy",90,32,"White Blend"
"South Africa","Simonsberg-Stellenbosch",90,40,"Cabernet Sauvignon"
"US","California",90,48,"Cabernet Sauvignon"
"US","California",90,24,"Chardonnay"
"Italy","Northeastern Italy",90,30,"White Blend"
"Italy","Northeastern Italy",90,39,"White Blend"
"France","Southwest France",90,40,"Malbec"
"Italy","Tuscany",90,25,"Chardonnay"
"US","Washington",91,20,"Red Blend"
"France","Champagne",91,75,"Chardonnay"
"Chile","Maipo Valley",91,30,"Cabernet Sauvignon"
"US","California",91,22,"Chardonnay"
"US","Washington",91,30,"Chardonnay"
"US","California",91,13,"Sauvignon Blanc"
"US","Washington",91,28,"Merlot"
"US","California",91,75,"Cabernet Sauvignon"
"France","Southwest France",90,55,"Malbec"
"Italy","Northeastern Italy",90,37,"White Blend"
"US","California",90,35,"Pinot Noir"
"South Africa","Hemel en Aarde",90,44,"Pinot Noir"
"US","California",90,40,"Pinot Noir"
"Italy","Northeastern Italy",90,29,"White Blend"
"South Africa","Stellenbosch",90,19,"Chardonnay"
"South Africa","Western Cape",90,42,"Syrah"
"US","Oregon",90,45,"Pinot Noir"
"Italy","Northeastern Italy",90,44,"Sauvignon Blanc"
"Italy","Northeastern Italy",90,25,"White Blend"
"Argentina","Mendoza Province",90,80,"Malbec"
"US","California",90,40,"Cabernet Sauvignon"
"South Africa","Simonsberg-Stellenbosch",90,24,"Cabernet Sauvignon"
"US","California",90,25,"Chardonnay"
"Argentina","Mendoza Province",90,35,"Bordeaux-style Red Blend"
"South Africa","Simonsberg-Stellenbosch",90,33,"Merlot"
"US","California",90,39,"White Blend"
"US","Washington",91,20,"Syrah"
"US","California",91,55,"Cabernet Sauvignon"
"US","California",91,36,"Pinot Noir"
"US","Washington",91,55,"Red Blend"
"Chile","Aconcagua Valley",90,21,"Cabernet Sauvignon"
"US","California",90,75,"Cabernet Sauvignon"
"US","Washington",90,50,"Bordeaux-style Red Blend"
"US","California",90,45,"Syrah"
"US","California",90,18,"Syrah"
"France","Loire Valley",88,17,"Sauvignon Blanc"
"US","California",88,36,"Syrah"
"US","New York",88,26,"Pinot Noir"
"US","California",88,35,"White Blend"
"US","Idaho",88,28,"Bordeaux-style Red Blend"
"US","California",88,40,"Red Blend"
"France","Loire Valley",88,27,"Rosé"
"France","Burgundy",88,40,"Chardonnay"
"France","Burgundy",88,35,"Pinot Noir"
"France","Loire Valley",88,38,"Sauvignon Blanc"
"Italy","Tuscany",88,40,"Sangiovese"
"France","Loire Valley",88,20,"Rosé"
"France","Loire Valley",88,22,"Sauvignon Blanc"
"France","Loire Valley",88,23,"Rosé"
"US","California",88,12,"Chardonnay"
"US","California",88,68,"Red Blend"
"US","California",88,27,"Red Blend"
"Italy","Tuscany",88,25,"Sangiovese"
"Italy","Tuscany",88,44,"Sangiovese"
"US","California",88,65,"Pinot Noir"
"US","California",88,30,"Chardonnay"
"Spain","Catalonia",88,95,"White Blend"
"US","California",91,32,"Syrah"
"US","California",91,35,"Pinot Noir"
"US","Oregon",91,18,"Chardonnay"
"US","California",91,145,"Cabernet Sauvignon"
"US","Oregon",91,21,"Pinot Noir"
"US","California",91,58,"Pinot Noir"
"US","California",91,42,"Red Blend"
"US","California",91,90,"Cabernet Sauvignon"
"US","California",91,38,"Syrah"
"US","California",91,49,"Pinot Noir"
"US","California",91,72,"Pinot Noir"
"US","California",91,75,"Cabernet Sauvignon"
"US","California",91,44,"Pinot Noir"
"US","California",91,44,"Pinot Noir"
"US","California",91,100,"Pinot Noir"
"US","Oregon",91,35,"Chardonnay"
"US","Oregon",91,75,"Pinot Noir"
"US","California",91,16,"Chardonnay"
"Israel","Judean Hills",91,25,"Cabernet Sauvignon"
"US","Oregon",91,40,"Pinot Noir"
"France","Southwest France",91,27,"Bordeaux-style Red Blend"
"France","Burgundy",91,30,"Chardonnay"
"US","California",91,32,"Pinot Noir"
"Germany","Mosel",91,58,"Riesling"
"Germany","Mosel",91,32,"Riesling"
"France","Burgundy",91,33,"Chardonnay"
"Germany","Rheinhessen",91,24,"Riesling"
"US","California",91,40,"Pinot Noir"
"France","Burgundy",91,34,"Chardonnay"
"France","Burgundy",91,34,"Chardonnay"
"Germany","Mosel",91,25,"Riesling"
"US","California",91,55,"Pinot Noir"
"Italy","Veneto",91,65,"Red Blend"
"Germany","Pfalz",91,26,"Riesling"
"Argentina","Mendoza Province",91,45,"Bordeaux-style Red Blend"
"Italy","Veneto",91,47,"Red Blend"
"France","Burgundy",91,65,"Pinot Noir"
"Spain","Catalonia",89,29,"White Blend"
"US","California",89,35,"Chardonnay"
"France","Loire Valley",89,30,"Pinot Noir"
"US","Oregon",89,14,"Chardonnay"
"Spain","Catalonia",89,40,"Red Blend"
"US","California",89,29,"Syrah"
"Chile","Casablanca Valley",89,17,"Sauvignon Blanc"
"US","Oregon",89,20,"Rosé"
"US","California",89,32,"Syrah"
"Germany","Mosel",89,20,"Riesling"
"US","Oregon",89,50,"Pinot Noir"
"Austria","Burgenland",91,49,"Red Blend"
"Australia","South Australia",91,17,"Cabernet Sauvignon"
"France","Loire Valley",91,30,"Sauvignon Blanc"
"Australia","Western Australia",91,36,"Chardonnay"
"US","California",91,47,"Pinot Noir"
"Austria","Niederösterreich",91,20,"Riesling"
"US","Washington",91,32,"Bordeaux-style Red Blend"
"US","California",91,29,"Syrah"
"US","California",91,60,"Pinot Noir"
"US","California",91,46,"Malbec"
"Chile","Maipo Valley",91,20,"Cabernet Sauvignon"
"US","Washington",91,18,"Red Blend"
"US","California",91,17,"Merlot"
"US","Washington",91,50,"Bordeaux-style Red Blend"
"US","California",91,27,"Merlot"
"US","California",91,48,"Pinot Noir"
"US","California",91,65,"Pinot Noir"
"Australia","South Australia",91,35,"Riesling"
"South Africa","Stellenbosch",91,50,"Chardonnay"
"France","Burgundy",87,20,"Chardonnay"
"France","Bordeaux",87,65,"Bordeaux-style Red Blend"
"France","Bordeaux",87,12,"Bordeaux-style Red Blend"
"US","Oregon",87,22,"Riesling"
"US","California",87,15,"Sauvignon Blanc"
"US","California",87,38,"Pinot Noir"
"Italy","Tuscany",87,42,"Red Blend"
"US","California",87,23,"White Blend"
"US","California",87,30,"Pinot Noir"
"Italy","Tuscany",87,39,"Red Blend"
"US","Oregon",87,24,"Pinot Noir"
"Italy","Veneto",87,18,"White Blend"
"France","Bordeaux",87,12,"Bordeaux-style Red Blend"
"France","Burgundy",87,16,"Chardonnay"
"France","Southwest France",87,35,"Bordeaux-style Red Blend"
"France","Burgundy",89,24,"Pinot Noir"
"US","Washington",89,50,"Red Blend"
"US","California",89,30,"Zinfandel"
"US","California",89,20,"Cabernet Sauvignon"
"Israel","Galilee",89,15,"Merlot"
"Italy","Sicily & Sardinia",89,35,"Red Blend"
"US","Washington",89,60,"Merlot"
"US","Washington",89,60,"Cabernet Sauvignon"
"US","Washington",89,29,"Red Blend"
"US","California",89,35,"Cabernet Sauvignon"
"US","New York",89,24,"Riesling"
"US","California",89,38,"Cabernet Sauvignon"
"US","California",89,18,"Rosé"
"US","California",89,20,"Chardonnay"
"US","California",89,12,"Zinfandel"
"France","Burgundy",89,51,"Chardonnay"
"France","Burgundy",89,141,"Pinot Noir"
"France","Burgundy",89,39,"Pinot Noir"
"Chile","Colchagua Valley",84,11,"Cabernet Sauvignon"
"US","New York",84,16,"Chardonnay"
"US","California",84,49,"Bordeaux-style Red Blend"
"US","Washington",84,30,"Cabernet Sauvignon"
"US","California",84,10,"Sauvignon Blanc"
"US","Washington",84,12,"Sauvignon Blanc"
"France","Alsace",84,20,"White Blend"
"Italy","Central Italy",84,29,"Red Blend"
"US","California",84,20,"Syrah"
"US","California",84,14,"Sauvignon Blanc"
"Italy","Central Italy",84,22,"Red Blend"
"US","Washington",84,25,"Red Blend"
"US","California",84,30,"Merlot"
"Chile","Casablanca Valley",84,11,"Chardonnay"
"Italy","Tuscany",88,18,"Red Blend"
"US","California",88,19,"Zinfandel"
"US","Washington",88,34,"Merlot"
"US","Washington",88,21,"Syrah"
"US","Washington",88,20,"Red Blend"
"US","California",88,25,"Rosé"
"Austria","Burgenland",88,11,"White Blend"
"US","Washington",88,35,"Cabernet Sauvignon"
"Italy","Tuscany",88,55,"Red Blend"
"Italy","Tuscany",88,35,"Red Blend"
"US","California",88,20,"Zinfandel"
"Austria","Niederösterreich",88,11,"Red Blend"
"Italy","Tuscany",88,35,"Red Blend"
"US","Washington",88,43,"Merlot"
"US","Washington",88,52,"Cabernet Sauvignon"
"US","Washington",88,17,"Cabernet Sauvignon"
"Italy","Tuscany",88,13,"Sangiovese"
"Italy","Tuscany",88,28,"Red Blend"
